Date,Activity_Scale
1982-07-05,1
1982-07-05,1
1982-07-07,1
1982-07-07,1
1982-07-07,1
1982-07-07,1
1982-10-08,1
1982-10-08,1
1982-10-08,1
1982-10-08,1
1982-10-08,1
1982-11-15,1
1982-11-15,1
1983-01-07,1
1983-01-07,1
1983-01-07,1
1983-03-22,1
1983-03-22,1
1983-03-22,1
1983-03-22,1
1983-03-22,1
1983-04-20,1
1983-04-20,1
1983-05-12,1
1983-11-23,1
1983-11-23,1
1984-02-02,1
1984-02-02,1
1984-02-06,1
1984-02-06,1
1984-02-17,1
1984-02-17,1
1984-02-17,1
1984-03-29,1
1984-03-29,1
1984-03-29,1
1984-05-09,1
1984-05-28,1
1984-05-28,1
1984-05-28,1
1984-05-28,1
1984-05-28,1
1984-09-06,1
1984-09-06,1
1984-09-06,1
1984-11-21,1
1984-11-21,1
1984-11-21,1
1984-11-21,1
1984-11-27,1
1984-11-27,1
1985-01-18,1
1985-01-18,1
1985-01-18,1
1985-02-22,1
1985-02-22,1
1985-02-22,1
1985-03-26,1
1985-03-26,1
1985-03-26,1
1985-05-21,1
1985-05-21,1
1985-05-21,1
1985-10-13,1
1985-10-13,1
1985-10-13,1
1985-10-13,1
1985-11-13,1
1985-11-13,1
1985-11-13,1
1985-11-13,1
1985-11-13,1
1986-02-03,1
1986-02-10,1
1986-02-10,1
1986-02-10,1
1986-03-06,1
1986-03-06,1
1986-03-06,1
1986-03-11,1
1986-03-11,1
1986-05-06,1
1986-05-06,1
1986-05-06,1
1986-05-06,1
1986-08-01,1
1986-08-01,1
1986-08-01,1
1986-10-29,1
1986-10-29,1
1986-10-29,1
1986-10-29,1
1986-11-22,1
1986-11-22,1
1987-01-25,1
1987-01-27,1
1987-01-27,1
1987-01-27,1
1987-02-03,1
1987-02-03,1
1987-02-03,1
1987-02-03,1
1987-02-03,1
1987-03-28,1
1987-03-28,1
1987-03-28,1
1987-04-07,1
1987-04-07,1
1987-04-07,1
1987-04-14,1
1987-04-14,1
1987-05-12,1
1987-05-12,1
1987-05-12,1
1987-05-12,1
1987-05-22,1
1987-05-22,1
1987-06-11,1
1987-06-11,1
1987-06-11,1
1987-06-11,1
1987-06-11,1
1987-06-30,1
1987-06-30,1
1987-06-30,1
1987-06-30,1
1987-06-30,1
1987-09-07,1
1987-09-07,1
1987-09-07,1
1987-09-07,1
1987-10-15,1
1987-10-15,1
1987-10-15,1
1987-10-30,1
1987-10-30,1
1987-10-30,1
1987-11-20,1
1987-11-20,1
1987-11-20,1
1988-01-14,1
1988-01-14,1
1988-01-14,1
1988-01-14,1
1988-01-14,1
1988-01-14,1
1988-02-10,1
1988-02-10,1
1988-02-10,1
1988-02-10,1
1988-02-10,1
1988-02-10,1
1988-02-10,1
1988-03-12,1
1988-03-25,1
1988-03-25,1
1988-03-25,1
1988-03-25,1
1988-03-25,1
1988-04-04,1
1988-04-04,1
1988-04-04,1
1988-04-04,1
1988-04-14,1
1988-04-14,1
1988-04-14,1
1988-04-14,1
1988-04-14,1
1988-04-18,1
1988-04-18,1
1988-04-18,1
1988-04-18,1
1988-05-13,1
1988-05-27,1
1988-05-27,1
1988-05-27,1
1988-05-27,1
1988-05-27,1
1988-06-15,1
1988-06-15,1
1988-06-15,1
1988-07-19,1
1988-07-19,1
1988-07-19,1
1988-08-01,1
1988-08-01,1
1988-08-01,1
1988-08-01,1
1988-08-14,1
1988-08-14,1
1988-08-14,1
1988-10-14,1
1988-10-14,1
1988-10-14,1
1988-11-16,1
1988-11-16,1
1988-11-16,1
1988-11-16,1
1988-12-02,1
1988-12-02,1
1988-12-02,1
1988-12-02,1
1988-12-02,1
1988-12-02,1
1989-01-12,1
1989-01-12,1
1989-01-14,1
1989-01-14,1
1989-01-14,1
1989-01-14,1
1989-01-14,1
1989-01-14,1
1989-02-01,1
1989-02-01,1
1989-02-01,1
1989-02-01,1
1989-02-09,1
1989-02-09,1
1989-02-09,1
1989-03-04,1
1989-03-04,1
1989-03-16,1
1989-03-16,1
1989-03-16,1
1989-03-20,1
1989-03-20,1
1989-04-26,1
1989-04-26,1
1989-04-26,1
1989-04-26,1
1989-04-26,1
1989-04-26,1
1989-06-23,1
1989-06-23,1
1989-06-23,1
1989-07-31,1
1989-07-31,1
1989-07-31,1
1989-07-31,1
1989-10-11,1
1989-10-11,1
1989-10-11,1
1989-10-11,1
1989-10-11,1
1989-11-04,1
1989-11-29,1
1989-11-29,1
1989-11-29,1
1989-11-29,1
1989-11-29,1
1990-03-02,1
1990-03-02,1
1990-03-02,1
1990-03-02,1
1990-03-02,1
1990-03-06,1
1990-03-06,1
1990-03-06,1
1990-03-06,1
1990-03-06,1
1990-05-17,1
1990-05-17,1
1990-05-17,1
1990-05-17,1
1990-08-30,1
1990-08-30,1
1990-08-30,1
1990-08-30,1
1990-08-30,1
1990-10-02,1
1990-10-03,1
1990-10-03,1
1990-10-03,1
1990-10-17,1
1990-10-17,1
1990-10-17,1
1990-10-17,1
1990-11-28,1
1990-11-28,1
1990-11-28,1
1991-02-06,1
1991-02-09,1
1991-02-13,1
1991-02-13,1
1991-02-13,1
1991-03-21,1
1991-03-22,1
1991-03-22,1
1991-03-22,1
1991-03-22,1
1991-04-21,1
1991-04-21,1
1991-04-21,1
1991-04-21,1
1991-05-18,1
1991-05-27,1
1991-05-27,1
1991-05-27,1
1991-05-27,1
1991-08-28,1
1991-08-28,1
1991-08-28,1
1991-08-28,1
1991-09-05,1
1991-09-05,1
1991-10-09,1
1991-10-09,1
1991-10-09,1
1991-10-09,1
1991-10-23,1
1991-10-23,1
1991-10-23,1
1991-11-26,1
1991-11-28,1
1991-11-28,1
1991-11-28,1
1991-12-05,1
1991-12-05,1
1991-12-05,1
1991-12-05,1
1991-12-05,1
1992-01-22,1
1992-01-22,1
1992-01-22,1
1992-01-22,1
1992-01-23,1
1992-01-23,1
1992-01-24,1
1992-01-31,1
1992-01-31,1
1992-01-31,1
1992-02-07,1
1992-02-07,1
1992-02-12,1
1992-02-12,1
1992-02-12,1
1992-02-13,1
1992-02-17,1
1992-02-17,1
1992-02-17,1
1992-02-20,1
1992-03-03,1
1992-03-03,1
1992-03-05,1
1992-03-05,1
1992-04-15,1
1992-04-15,1
1992-04-15,1
1992-04-15,1
1992-04-17,1
1992-04-20,1
1992-04-23,1
1992-04-23,1
1992-04-23,1
1992-04-23,1
1992-05-05,1
1992-05-05,1
1992-05-05,1
1992-05-12,1
1992-05-12,1
1992-05-12,1
1992-05-12,1
1992-05-12,1
1992-09-02,1
1992-09-02,1
1992-09-02,1
1992-09-02,1
1992-09-02,1
